cpu_usage_percent,memory_usage_mb,mouse_clicks_per_min,keyboard_strokes_per_min,network_activity_kb,window_focus_time_sec,time_since_last_interaction_min,power_consumption_watts,status,app_name,timestamp
32.4507123,254.9516577,6,22,36.2895854,3.006999401,0.479342698,5,Active,TaskManager,23:11.8
22.92603548,219.3475262,7,32,56.76230428,41.82429569,0.870490683,68.52035384,Active,Steam,23:41.8
34.71532807,154.4722777,7,16,100.903733,0,2.414742066,40.22396225,Active,PowerPoint,24:11.8
47.84544785,101.4797417,10,22,15.94323932,55.30028468,0.845290088,27.42694639,Active,MediaPlayer,24:41.8
21.48769938,202.3667485,10,28,10.82985959,16.55636728,16.57792023,51.71870783,Active,MediaPlayer,25:11.8
21.48794565,179.5114039,6,31,24.19699036,57.17415598,14.66752367,48.73083642,Active,MediaPlayer,25:41.8
48.68819223,217.1394915,4,24,71.0511619,0,2.048191365,30.01075073,Active,Firefox,26:11.8
36.51152094,197.6378851,4,20,53.7585639,22.29624745,5.104753465,19.2883113,Active,WhatsApp,26:41.8
17.95788421,228.7164536,4,28,6.72092987,4.139791685,3.81520215,54.36830716,Active,Steam,27:11.8
33.13840065,109.8573591,9,30,52.98672793,57.06709845,8.452886829,28.00256657,Active,PowerPoint,27:41.8
18.04873461,248.8045549,7,23,96.54313298,63.58049597,4.93686119,47.2876695,Active,Steam,28:11.8
18.0140537,164.8199704,11,26,57.93441203,0,0.001262432,52.46890711,Active,Discord,28:41.8
28.62943407,305.6445654,8,23,54.93673672,47.31723117,7.202156065,64.36352306,Active,Calculator,29:11.8
0,98.31091364,12,23,56.74226359,51.37374707,6.868828296,87.38207205,Active,Notepad,29:41.8
0,280.1972852,10,25,62.43508162,36.5136905,3.563920705,49.74418403,Active,Steam,30:11.8
16.56568706,164.8433088,4,22,11.98695316,41.76326619,11.66104661,36.49277059,Active,Spotify,30:41.8
9.807533195,101.1436497,3,30,43.04227994,40.3211003,11.95414282,78.16871814,Active,Word,31:11.8
29.71370999,113.7085624,5,26,44.60731601,47.39016964,3.710759444,65.96185458,Active,Discord,31:41.8
11.37963887,125.9739519,10,23,35.4959294,8.15065919,4.682317086,48.36766056,Active,VS Code,32:11.8
3.81544448,181.812446,5,32,70.58364826,54.00988689,28.30659272,49.72973892,Idle,Slack,32:41.8
46.98473153,189.2126616,4,23,30.9801961,34.18692672,1.774954919,45.53823448,Active,Firefox,33:11.8
21.61335549,106.9724997,10,19,39.20094736,32.9866768,1.962378502,48.24423009,Active,WhatsApp,33:41.8
26.01292307,148.1734056,6,22,12.19481958,41.33249898,1.009197407,42.96269297,Active,Slack,34:11.8
3.628777207,310.6702769,10,26,61.34931679,4.584624223,11.31042883,25.50339035,Active,Word,34:41.8
16.83425913,279.5657378,11,23,78.25708885,0,6.822437149,45.17746918,Active,Spotify,35:11.8
26.66383885,182.7242752,5,27,39.16938447,27.57935675,0.558250428,80.14548434,Active,Discord,35:41.8
7.735096339,152.8502609,8,19,74.22171232,60.87077863,20.02270701,28.67915998,Active,Photoshop,36:11.8
30.63547028,159.0023495,6,31,45.59129674,6.292347426,6.564507803,39.57457361,Active,Spotify,36:41.8
15.99041965,196.013848,9,16,0,33.50308881,9.503033937,27.16161468,Active,Photoshop,37:11.8
20.62459375,73.29055761,11,29,48.45453996,15.66632184,0.246743244,68.14664591,Active,WhatsApp,37:41.8
15.97440082,130.6967597,13,31,44.73286372,12.98043141,3.515592839,61.59408259,Active,FileExplorer,38:11.8
52.78417277,24.85619446,4,17,53.08986799,40.01496732,5.996556542,19.43374359,Active,Chrome,38:41.8
24.79754163,179.9417342,8,18,57.59556305,45.18750999,3.914775061,5,Active,PowerPoint,39:11.8
9.134336066,198.5396955,5,25,29.48235424,14.24897062,5.492773437,62.31402358,Active,Chrome,39:41.8
37.33817368,113.7610153,11,28,94.13944933,57.74500512,8.515284365,18.21465756,Active,Spotify,40:11.8
6.68734525,268.0490072,8,18,48.01515339,38.45007253,2.344717461,61.56532714,Active,Calculator,40:41.8
